store_id,store_code,store_name,city,state,city_tier,cluster_zone,store_type,store_size_sqft,opening_date,created_at
1,STR01001,QuickMart Gwalior - Plaza-18,Gwalior,Madhya Pradesh,3,Central,Convenience,1959,2019-12-31,2026-05-30 01:02:25
2,STR01002,MegaMart Srinagar - East-20,Srinagar,Jammu and Kashmir,2,North,Department Store,35022,2019-10-09,2026-05-30 01:02:25
3,STR01003,UrbanMart Tirunelveli - Central-27,Tirunelveli,Tamil Nadu,3,South,Hypermarket,43089,2022-07-16,2026-05-30 01:02:25
4,STR01004,ValueStore Ludhiana - Square-32,Ludhiana,Punjab,2,North,Wholesale,40746,2010-10-28,2026-05-30 01:02:25
5,STR01005,BigBazaar Srinagar - East-74,Srinagar,Jammu and Kashmir,2,North,Express,5435,2013-04-08,2026-05-30 01:02:25
6,STR01006,DailyNeeds Ahmedabad - Plaza-92,Ahmedabad,Gujarat,1,West,Convenience,993,2016-11-24,2026-05-30 01:02:25
7,STR01007,SmartShop Kanpur - West-61,Kanpur,Uttar Pradesh,2,North,Hypermarket,84978,2021-07-07,2026-05-30 01:02:25
8,STR01008,UrbanMart Asansol - Square-12,Asansol,West Bengal,3,East,Supermarket,34913,2024-08-28,2026-05-30 01:02:25
9,STR01009,SmartShop Chandigarh - Junction-30,Chandigarh,Chandigarh,2,North,Express,3799,2021-02-13,2026-05-30 01:02:25
10,STR01010,BigBazaar Moradabad - North-69,Moradabad,Uttar Pradesh,3,North,Convenience,1489,2024-06-23,2026-05-30 01:02:25
11,STR01011,CityStore Tiruchirappalli - North-71,Tiruchirappalli,Tamil Nadu,3,South,Supermarket,28994,2016-08-09,2026-05-30 01:02:25
12,STR01012,DailyNeeds Chandigarh - Square-33,Chandigarh,Chandigarh,2,North,Supermarket,30849,2012-02-07,2026-05-30 01:02:25
13,STR01013,DailyNeeds Mumbai - Square-90,Mumbai,Maharashtra,1,West,Express,2836,2017-10-30,2026-05-30 01:02:25
14,STR01014,BigBazaar Asansol - South-34,Asansol,West Bengal,3,East,Express,2116,2025-11-24,2026-05-30 01:02:25
15,STR01015,UrbanMart Vadodara - South-40,Vadodara,Gujarat,2,West,Hypermarket,61720,2020-12-23,2026-05-30 01:02:25
16,STR01016,ValueStore Nellore - Plaza-55,Nellore,Andhra Pradesh,3,South,Convenience,2097,2015-03-17,2026-05-30 01:02:25
17,STR01017,FreshKart Ranchi - Plaza-32,Ranchi,Jharkhand,3,East,Supermarket,17498,2010-09-05,2026-05-30 01:02:25
18,STR01018,MegaMart Patiala - Park-81,Patiala,Punjab,3,North,Convenience,1767,2023-11-19,2026-05-30 01:02:25
19,STR01019,FreshKart Nellore - Plaza-80,Nellore,Andhra Pradesh,3,South,Convenience,1258,2018-09-24,2026-05-30 01:02:25
20,STR01020,MegaMart Vellore - Central-07,Vellore,Tamil Nadu,3,South,Wholesale,30925,2020-10-29,2026-05-30 01:02:25
21,STR01021,QuickMart Tiruchirappalli - Square-60,Tiruchirappalli,Tamil Nadu,3,South,Express,3404,2024-01-21,2026-05-30 01:02:25
22,STR01022,SmartShop Kozhikode - Square-16,Kozhikode,Kerala,3,South,Express,3463,2011-05-15,2026-05-30 01:02:25
23,STR01023,ValueStore Bhavnagar - Junction-15,Bhavnagar,Gujarat,3,West,Wholesale,34558,2010-10-06,2026-05-30 01:02:25
24,STR01024,MegaMart Kolhapur - Junction-20,Kolhapur,Maharashtra,3,West,Express,4666,2017-02-05,2026-05-30 01:02:25
25,STR01025,SmartShop Aligarh - North-50,Aligarh,Uttar Pradesh,3,North,Convenience,1388,2018-10-08,2026-05-30 01:02:25
26,STR01026,FreshKart Indore - Park-07,Indore,Madhya Pradesh,2,Central,Hypermarket,83533,2018-01-15,2026-05-30 01:02:25
27,STR01027,BigBazaar Hyderabad - Junction-56,Hyderabad,Telangana,1,South,Supermarket,16892,2022-01-01,2026-05-30 01:02:25
28,STR01028,UrbanMart Shimla - North-08,Shimla,Himachal Pradesh,3,North,Express,2383,2014-03-16,2026-05-30 01:02:25
29,STR01029,RetailMart Solapur - East-34,Solapur,Maharashtra,3,West,Department Store,28524,2018-08-03,2026-05-30 01:02:25
30,STR01030,UrbanMart Bhavnagar - Square-93,Bhavnagar,Gujarat,3,West,Convenience,2307,2022-12-17,2026-05-30 01:02:25
